"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","forgot password","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","auth > forgot password","web","",""
"","18","payment distribution","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > revenue","web","",""
"","26","donoughnut","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > population > status","web","",""
"","12","password mismatch","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","auth > change password","web","",""
"","13","distribution","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > revenue","web","",""
"","31","overview summary","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > invoice > status","web","",""
"","11","subscription - no auth","QA -api","Sat Nov 29 21:44:52 UTC 2025","broken","Sat Nov 29 21:44:52 UTC 2025","subscription","web","",""
"","17","existing phone no","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","auth > sign up","web","",""
"","18","manage","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","manage school","web","",""
"","26","trend","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > invoice > channel","web","",""
"","17","summary","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > population > type","web","",""
"","40","invalid email","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","auth > login","web","",""
"","18","trend","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > population > type","web","",""
"","16","donughnut","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > population > type","web","",""
"","36","trend","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > expenses","web","",""
"","22","revenue","QA -api","Sat Nov 29 21:44:51 UTC 2025","broken","Sat Nov 29 21:44:51 UTC 2025","overview > revenue","web","",""
